FAC_TYPE,VERS_DATE,SERIAL_NO,NAME,LATITUDE,LONGITUDE,SITE_CLASS,WILDERNESS,DIS_ACCESS,ACCESS_DSC,FEE,COMMENTS,MAINT_BY,LABEL,ACT_CODE,FAC_CODE,PUBLISHED,CLOS_STAT,CLOS_DESC,CLOS_START,CLOS_OPEN,CLOS_REAS,CAMPING,CAMPING_C,CAMPING_R,CAMPERVANG,CAMPERVANC,CAMPERVANT,CAMPVANR,TB_VISITOR,TBVA_C,TBVA_R,HERITAGE,HERITAGE_C,HERITAGE_R,FISHING,FISHING_C,FISHING_R,FOSSICKING,FOSSICK_C,FOSSICK_R,HANG_GLIDE,HANG_GLD_C,HANG_GLD_R,HORSE_RIDE,HORSERIDEC,HORSERIDER,PADDLING,PADDLING_C,PADDLING_R,PICNICING,PICNIC_C,PICNICINGR,REDUCE_NA,REDUCE_C,REDUCE_R,ROCKCLIMB,ROCKCLMB_C,ROCKCLIMBR,TREE_VIEW,TREEVIEW_C,TREEVIEW_R,WALKINGDOG,WALKDOG_C,WALKDOG_R,WILDLIFE,WILDLIFE_C,WILDLIFE_R,PCT_AFRAME,PCT_PEDEST,PCT_OTHER,BBQ_ELEC,BBQ_PIT,BBQ_GAS,BBQ_WOOD,IS_PART_OF,PHOTO_ID_1,PHOTO_ID_2,PHOTO_ID_3,SDE_DATE,Y_COORD,X_COORD,ALTER_DATE,ENTITY_ID,UFI,geometry
REC SITES,4/18/2020,1199,Married Men,-37.529204,145.941837,VERY BASIC,,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.   From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eildon,,"Married Men camp is the gateway to the Upper Big River campsites.  Open areas to camp alongside the Big River with options to ride the network of forest roads or head off on a four wheel drive adventure.  Perhaps fishing and relaxing is more your style,",MARYSVILLE,Married Men,WC,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"The first of the Upper Big River camps, the Married Men is a basic campsite running along the Big River with water access.  This area is suitable for caravans, camping trailers and tents with grassy spacious sites.
",1,Y,Married Men Camp is relatively flat and can accommodate small caravans and camper trailers.,SMALL CARAVAN,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121844,121845,121846,4/18/2020,-37.529204,145.941837,,,491157-20170626,POINT (145.9418370000001 -37.52920399999999)
REC SITES,4/18/2020,1286,Kendalls,-37.30997421,145.8522241,HIGH,,FULL,"From Melbourne, follow the Maroondah Highway; turn right onto the Taggerty-Thornton road and right again onto Rubicon road.  Kendalls Camp is approximately 5.5.km along Rubicon Road.  The camping areas are accessible by 2 WD.  Kendalls Camp is closed fro",,seasonally closed,ALEXANDRA,Kendalls,WCUS,UeY,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,,1,Y,Large grassy sites spread either side of the looped camp road provide ideal areas to set up both small caravans or campervans.,SMALL CARAVAN,5,,,0,,,0,Y,,2,,,0,,,0,,,0,,,0,Y,,4,,,0,,,0,,,0,Y,,0,,,0,,,,,,,1,,51274,51275,51294,4/18/2020,-37.30997421,145.8522241,,,491163-20191009,POINT (145.852224073 -37.30997421299998)
REC SITES,4/18/2020,1311,Tin Hut,-37.324028,145.86215,VERY BASIC,,NONE,"From Melbourne, follow the Maroondah Highway; turn right onto the Taggerty-Thornton road and right again onto Rubicon road.  Tin Hut Camp is located just over the Royston road bridge on Royston road. The camping areas is currently 4WD access only due to",,,ALEXANDRA,Tin Hut,W,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"Tin Hut was the location of Tin Hut township that serviced the hydro-electric scheme and timber workers in the first half of the 20th century.  Now the Tin Hut has grassy camping nestled into the slope under some large European and native trees.   
Day",1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121985,121986,121987,4/18/2020,-37.324028,145.86215,,,491167-20190403,POINT (145.86215 -37.324028)
REC SITES,4/18/2020,1315,Stanley Homestead,-37.284817,145.559675,VERY BASIC,,NONE,From Melbourne - travel along the Melba Highway to the intersection of Murrindindi Road just before Devlins Bridge.  Turn right and drive 8.5 km to the SEC road (do not head toward Murrindindi Scenic Reserve at this point) continue over the Murrindindi R,,"Located not far from Yea, Stanley Homestead is popular  with those that like to indulge in  trailbike and four wheel driving activities.  The network of forest roads in the surrounding Black Range State forest provide various challenges for those wanting",ALEXANDRA,Stanley Homestead,WE,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,Stanley Homestead is the only official campsite in the Black Range.  As the name suggests it was the site of an old homestead which results in large European trees scattered through the grassy site.  A small dam is located to the back of the camping area,1,,,,0,,,0,Y,The site of the old homestead long gone but left onsite is an old boiler and dam along with some of the European trees planted in the gardens of the homestead site.,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,1,,121934,121935,121936,4/18/2020,-37.284817,145.559675,,,491169-20170626,POINT (145.5596750000001 -37.28481699999998)
REC SITES,4/18/2020,1433,Old Coach Camping Area,-37.386963,146.068318,VERY BASIC,,NONE,"From Melbourne take the Maroondah Hwy, turn right to Thornton and turn onto the Goulburn Valley Highway, then right onto Eildon-Jamieson road.  Big River road is 30 kilometres from the Highway.  Turn right into Big River Road and follow the gravel road,",,,ALEXANDRA,Old Coach Camping Area,W,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"Tucked away this private campsite offers a couple of quiet campsites recommended to be only accessed by four-wheel drive.  A basic bush camp next to the Big River, the tree covered sites offer options for small groups of campers.   
",1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121886,121887,121888,4/18/2020,-37.386963,146.068318,,,491172-20170626,POINT (146.0683180000001 -37.38696299999998)
REC SITES,4/18/2020,1449,Burnt Bridge,-37.346654,146.059926,BASIC,,NONE,"From Melbourne take the Maroondah Hwy, turn right to Thornton and turn onto the Goulburn Valley Highway, then right onto Eildon-Jamieson road.  Follow this bitumen road to the last of the official camp sites on the left hand side of the road.
",,"Burnt Bridge is set on the banks of the Big River, here you can relax under the shade of the large forest trees or head into the surrounding forest to experience 4 wheel driving, fishing, trailbike riding or walking pursuits.  Big River State Forest prov",ALEXANDRA,Burnt Bridge,WC,UY,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,Burnt Bridge Campsite is a rather large area located in the gully on the downside of the Eildon Jamieson road.  It allows for larger group camping on the flats near the Big River.  To the far east of the camping area there is a great view of the powerful,1,Y,Some areas are suitable for small caravans.,SMALL CARAVAN,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121739,121740,121741,4/18/2020,-37.346654,146.059926,,,491176-20170626,POINT (146.059926 -37.346654)
REC SITES,4/18/2020,1457,Pines,-37.357174,146.061666,BASIC,,NONE,"From Melbourne take the Maroondah Hwy, turn right to Thornton and turn onto the Goulburn Valley Highway, then right onto Eildon-Jamieson road.  Follow this bitumen road for until Newmans Track.  The Pines camping area is opposite this junction.
",,,ALEXANDRA,Pines,W,Y,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"The Pines received its name due to the large Pine trees located to the east of the camping area.  These serve as shade for camping on the hot summer days.  The camp roads weave in and out of the bush providing access to individual sites. 
",1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121895,121896,121897,4/18/2020,-37.357174,146.061666,,,491179-20170822,POINT (146.0616660000001 -37.35717399999999)
REC SITES,4/18/2020,1463,Horseshoe Bend Camping Area,-37.366509,146.055379,BASIC,,NONE,"From Melbourne take the Maroondah Hwy, turn right to Thornton and turn onto the Goulburn Valley Highway, then right onto Eildon-Jamieson road.  Follow this bitumen road 1km past the Lions Club.
",,"Horseshoe Bend camping area is a popular spot for visitors to the Big River State Forest.  Whether you are after a relaxing camping experience or your keen to four wheel drive or trailbike, this site provides a great base to set up camp for the night.",ALEXANDRA,Horseshoe Bend Camping Area,WC,UY,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"Campsites are spread out under the trees for real bush camping.  Larger areas can accommodate groups.  Pick a spot and enjoy the soothing sounds of the nearby Big River.
",1,Y,Horseshoe bend camping area has options for small caravan or camper trailers.,SMALL CARAVAN,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,1,,1,,121796,121797,121798,4/18/2020,-37.366509,146.055379,,,491180-20170626,POINT (146.055379 -37.36650899999995)
REC SITES,4/18/2020,1466,Taponga,-37.370611,146.057229,VERY BASIC,,NONE,"From Melbourne take the Maroondah Hwy, turn right to Thornton and turn onto the Goulburn Valley Highway, then right onto Eildon-Jamieson road.  Follow this bitumen road, Taponga Camp is the first of the Lower Big River campsites and is located on the lef",,Taponga is the first of the Lower Big River campsites and is nested under the large eucalypts alongside the Big River.  A serene and shady spot with toilet facilities. There is opportunities for fishing or relaxing as you listen to the nearby sounds of t,ALEXANDRA,Taponga,WC,Y,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,"Taponga Camp is the first of the Lower Big River campsites running alongside the Taponga River.  Camping areas can be found between the tee tree with a larger eucalypt canopy providing shade.  
",1,Y,Some of the open camping areas are suitable for camper trailers or a small caravan.,SMALL CARAVAN,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121970,121971,121972,4/18/2020,-37.370611,146.057229,,,491182-20180713,POINT (146.057229 -37.370611)
REC SITES,4/18/2020,1490,Rubicon Camping Area,-37.327941,145.863141,VERY BASIC,,NONE,"From Melbourne, follow the Maroondah Highway; turn right onto the Taggerty-Thornton road and right again onto Rubicon road.  Rubicon Camp is located 1km over the Royston road bridge on right of Royston road.    The camping areas are accessible by 2 WD bu",,,ALEXANDRA,Rubicon Camping Area,W,,Y,FULL CLOSURE,"Due to risks associated with Coronavirus (COVID-19), this site will be closed to camping until further notice.",3/26/2020,12/1/2020,,Y,This camping area is under some rather large trees providing shade on a hot summers day.  this basic site offers two separate areas.  Set up your tent and relax in this true bush setting.,1,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,121907,121908,121909,4/18/2020,-37.327941,145.863141,,,491184-20170823,POINT (145.863141 -37.32794099999995)
