latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,source,bright_ti4,bright_ti5
-37.063,148.57299999999998,306.9,1.1,1.0,2020-04-18,355,A,61,6.0NRT,293.6,5.4,D,MODIS,,
-36.32,145.838,300.4,1.3,1.2,2020-04-18,355,A,10,6.0NRT,280.6,5.1,D,MODIS,,
-36.321,145.822,312.5,1.4,1.2,2020-04-18,355,A,55,6.0NRT,280.6,17.2,D,MODIS,,
-36.400999999999996,144.6,302.4,1.6,1.2,2020-04-18,355,A,52,6.0NRT,282.3,7.2,D,MODIS,,
-36.025,146.57,312.6,1.2,1.1,2020-04-18,355,A,73,6.0NRT,294.5,12.4,D,MODIS,,
-35.896,143.657,308.4,1.0,1.0,2020-04-19,25,T,57,6.0NRT,296.1,3.9,D,MODIS,,
-36.327,143.244,307.1,1.0,1.0,2020-04-19,25,T,40,6.0NRT,294.7,4.1,D,MODIS,,
-36.336999999999996,143.241,308.6,1.0,1.0,2020-04-19,25,T,61,6.0NRT,294.3,5.2,D,MODIS,,
-37.273,143.143,318.2,1.0,1.0,2020-04-19,25,T,78,6.0NRT,292.7,15.8,D,MODIS,,
-38.176,143.97299999999998,303.5,1.0,1.0,2020-04-19,25,T,53,6.0NRT,287.0,5.0,D,MODIS,,
-38.442,142.879,310.4,1.0,1.0,2020-04-19,25,T,70,6.0NRT,287.9,10.3,D,MODIS,,
-38.108000000000004,143.726,304.2,1.2,1.1,2020-04-19,440,A,58,6.0NRT,285.8,7.7,D,MODIS,,
-37.069,148.263,304.0,2.3,1.5,2020-04-19,440,A,58,6.0NRT,292.3,16.7,D,MODIS,,
-37.876,143.929,312.5,1.3,1.1,2020-04-19,440,A,68,6.0NRT,289.4,15.7,D,MODIS,,
-37.635,141.624,303.3,1.1,1.0,2020-04-19,440,A,55,6.0NRT,280.4,8.0,D,MODIS,,
-36.518,147.227,300.8,2.1,1.4,2020-04-19,440,A,42,6.0NRT,289.9,14.2,D,MODIS,,
-37.086999999999996,143.89600000000002,322.9,1.3,1.1,2020-04-19,440,A,58,6.0NRT,281.1,32.7,D,MODIS,,
-36.979,143.345,303.9,1.2,1.1,2020-04-19,440,A,49,6.0NRT,278.4,9.2,D,MODIS,,
-37.056999999999995,141.808,313.6,1.1,1.0,2020-04-19,440,A,74,6.0NRT,277.9,15.3,D,MODIS,,
-36.238,146.126,306.0,1.8,1.3,2020-04-19,440,A,38,6.0NRT,285.6,14.6,D,MODIS,,
-36.915,142.278,314.9,1.1,1.1,2020-04-19,440,A,75,6.0NRT,295.9,11.4,D,MODIS,,
-36.915,141.96200000000002,333.0,1.1,1.0,2020-04-19,440,A,83,6.0NRT,287.0,35.0,D,MODIS,,
-36.917,141.95,310.0,1.1,1.0,2020-04-19,440,A,66,6.0NRT,287.5,8.7,D,MODIS,,
-36.852,142.165,302.3,1.1,1.1,2020-04-19,440,A,42,6.0NRT,285.8,4.7,D,MODIS,,
-36.783,142.25799999999998,314.7,1.1,1.1,2020-04-19,440,A,72,6.0NRT,287.5,13.0,D,MODIS,,
-36.759,142.344,334.3,1.1,1.1,2020-04-19,440,A,51,6.0NRT,289.7,38.2,D,MODIS,,
-36.774,142.255,307.6,1.1,1.1,2020-04-19,440,A,48,6.0NRT,284.9,7.4,D,MODIS,,
-36.532,142.18,334.9,1.1,1.1,2020-04-19,440,A,89,6.0NRT,286.7,39.0,D,MODIS,,
-36.534,142.167,340.5,1.1,1.1,2020-04-19,440,A,92,6.0NRT,288.8,49.5,D,MODIS,,
-36.53,142.174,370.8,1.1,1.1,2020-04-19,440,A,100,6.0NRT,290.9,138.5,D,MODIS,,
-36.532,142.161,331.5,1.1,1.1,2020-04-19,440,A,87,6.0NRT,287.5,33.3,D,MODIS,,
-36.521,142.171,321.4,1.1,1.1,2020-04-19,440,A,81,6.0NRT,288.0,21.1,D,MODIS,,
-36.523,142.159,304.0,1.1,1.1,2020-04-19,440,A,57,6.0NRT,280.9,4.8,D,MODIS,,
-36.129,143.542,318.6,1.3,1.1,2020-04-19,440,A,68,6.0NRT,282.1,25.1,D,MODIS,,
-36.131,143.528,327.8,1.3,1.1,2020-04-19,440,A,74,6.0NRT,279.5,39.1,D,MODIS,,
-36.389,141.905,304.1,1.1,1.0,2020-04-19,440,A,51,6.0NRT,282.8,6.2,D,MODIS,,
-35.415,142.388,312.4,1.2,1.1,2020-04-19,440,A,72,6.0NRT,296.4,8.1,D,MODIS,,
-35.418,142.375,315.8,1.2,1.1,2020-04-19,440,A,76,6.0NRT,297.7,12.0,D,MODIS,,
-37.797,141.764,303.7,2.2,1.5,2020-04-20,110,T,57,6.0NRT,286.5,19.9,D,MODIS,,
-37.655,148.219,310.9,1.5,1.2,2020-04-20,345,A,59,6.0NRT,293.3,13.1,D,MODIS,,
-37.657,148.202,315.2,1.5,1.2,2020-04-20,345,A,76,6.0NRT,294.2,19.3,D,MODIS,,
-37.656,148.214,317.3,1.5,1.2,2020-04-20,345,A,77,6.0NRT,293.6,24.4,D,MODIS,,
-37.658,148.197,307.6,1.5,1.2,2020-04-20,345,A,66,6.0NRT,294.3,10.4,D,MODIS,,
-37.464,149.585,301.4,1.1,1.0,2020-04-21,10,T,35,6.0NRT,290.1,3.2,D,MODIS,,
-37.57,149.319,307.4,1.7,1.3,2020-04-21,425,A,65,6.0NRT,290.2,16.8,D,MODIS,,
-37.971,143.928,315.9,1.0,1.0,2020-04-21,425,A,53,6.0NRT,287.1,13.1,D,MODIS,,
-37.856,142.571,311.5,1.0,1.0,2020-04-21,425,A,71,6.0NRT,292.5,9.0,D,MODIS,,
-37.492,143.431,321.4,1.0,1.0,2020-04-21,425,A,81,6.0NRT,292.0,19.0,D,MODIS,,
-37.402,143.357,310.8,1.0,1.0,2020-04-21,425,A,61,6.0NRT,288.1,9.5,D,MODIS,,
-37.302,143.467,308.7,1.0,1.0,2020-04-21,425,A,67,6.0NRT,291.1,7.8,D,MODIS,,
-37.226,143.174,331.9,1.0,1.0,2020-04-21,425,A,88,6.0NRT,295.2,30.7,D,MODIS,,
-37.228,143.16299999999998,327.3,1.0,1.0,2020-04-21,425,A,85,6.0NRT,288.3,24.7,D,MODIS,,
